K+(2a),,K+(2b),
X,Y,X,Y
-0.04907975460122538,3.292700818363059,-0.09803921568627771,3.2675044883303475
0.17177914110429437,3.49350045709377,-3.552713678800501e-15,3.317773788150813
0.24539877300613488,3.6944851361919167,0.1470588235294059,3.5691202872531473
0.36809815950920255,3.995946734808518,0.22058823529411598,3.9964093357271153
0.44171779141104306,4.347739313368072,0.3676470588235219,4.549371633752244
0.5644171779141103,4.699470211805139,0.4166666666666572,5.102333931777382
0.6380368098159503,4.975858840633988,0.5637254901960702,5.680430879712752
0.7852760736196323,5.327558899009814,0.6372549019607732,6.233393177737884
0.834355828220859,5.553709068079435,0.7598039215686221,6.71095152603232
1.0061349693251547,5.754570386932629,0.8333333333333286,7.163375224416518
1.0306748466257676,5.955616746153259,0.9803921568627416,7.565529622980254
1.1779141104294495,6.106239605247218,1.029411764705877,7.842010771992822
1.2515337423312896,6.231820334614664,1.1764705882352864,8.168761220825855
1.3251533742331292,6.382535713892349,1.2499999999999893,8.42010771992819
1.4478527607361964,6.407516163496382,1.3235294117646994,8.671454219030524
1.4723926380368102,6.533158572986311,1.4460784313725448,8.897666068222625
1.5950920245398783,6.583273672500582,1.5196078431372477,9.023339317773791
1.7177914110429442,6.658523421925089,1.6421568627450895,9.249551166965892
1.8404907975460136,6.708638521439351,1.715686274509789,9.375224416517058
1.938650306748467,6.809053760835329,1.8382352941176414,9.526032315978458
2.085889570552148,6.9345419700190565,1.9117647058823515,9.676840215439858
2.2576687116564416,6.93432608959038,2.0588235294117645,9.777378815080793
2.3312883435582834,7.00963751913736,2.1078431372549034,9.877917414721725
2.4539877300613493,7.034617968741399,2.2549019607843093,10.003590664272894
2.601226993865031,7.084702228194432,2.3284313725490122,10.179533213644525
2.6993865030674855,7.134848167769935,2.4754901960784252,10.229802513464993
2.79754601226994,7.235263407165911,2.5735294117646994,10.43087971274686
2.94478527607362,7.184809066978005,2.720588235294109,10.58168761220826
2.9938650306748475,7.310420636406697,2.7941176470588225,10.65709156193896
3.165644171779142,7.285070106067783,2.941176470588232,10.707360861759428
3.1901840490797553,7.3604432157372415,3.0147058823529385,10.80789946140036
3.3619631901840505,7.3602273353085685,3.1372549019607803,10.88330341113106
3.4355828220858897,7.435538764855549,3.2107843137254903,11.008976660682228
3.5582822085889574,7.410249914639115,3.3578431372549034,11.059245960502695
3.656441717791411,7.485530504124856,3.4068627450980387,11.210053859964095
3.7791411042944785,7.560780253549368,3.553921568627448,11.260323159784562
3.901840490797547,7.560626053243169,3.676470588235283,11.436265709156196
4.049079754601227,7.560441012875728,3.848039215686267,11.511669658886895
4.1226993865030686,7.635752442422712,3.897058823529406,11.587073608617597
4.269938650306749,7.635567402055271,4.0441176470588225,11.53680430879713
4.417177914110429,7.685651661508304,4.1176470588235325,11.687612208258532
4.539877300613497,7.685497461202106,4.2647058823529385,11.788150807899463
4.687116564417179,7.685312420834668,4.411764705882341,11.763016157989231
4.736196319018406,7.760654690442893,4.460784313725476,11.83842010771993
4.858895705521473,7.785635140046926,4.607843137254918,11.938958707360865
4.957055214723928,7.785511779801965,4.7549019607843235,11.913824057450631
5.10429447852761,7.835596039254995,4.901960784313729,12.039497307001795
5.226993865030675,7.835441838948796,5.024509803921568,12.039497307001795
5.39877300613497,7.83522595852012,5.122549019607838,12.14003590664273
5.521472392638037,7.91047570794462,5.245098039215669,12.114901256732495
5.668711656441717,7.935425317487418,5.392156862745118,12.190305206463197
5.791411042944787,7.935271117181221,5.637254901960787,12.165170556552965
5.963190184049081,7.909920586842311,5.784313725490193,12.315978456014363
6.012269938650308,8.010397506360766,6.004901960784316,12.290843806104132
6.184049079754603,7.985046976021856,6.176470588235304,12.290843806104132
6.331288343558285,7.984861935654418,6.323529411764717,12.341113105924597
6.478527607361965,7.984676895286981,6.495098039215712,12.341113105924597
6.65030674846626,7.984461014858304,6.715686274509842,12.341113105924597
6.87116564417178,7.984183454307148,6.911764705882391,12.341113105924597
7.092024539877299,7.983905893755992,7.083333333333364,12.341113105924597
7.288343558282204,7.983659173266076,7.303921568627466,12.341113105924597
7.460122699386497,8.033712592657865,7.549019607843142,12.265709156193898
7.607361963190177,8.058662202200662,7.794117647058812,12.290843806104132
7.754601226993861,8.058477161833224,7.9901960784313815,12.290843806104132
7.901840490797536,8.033157471555553,8.186274509803923,12.290843806104132
8.024539877300604,7.982733971428891,8.406862745098024,12.290843806104132
8.171779141104288,7.982548931061453,8.553921568627473,12.190305206463197
8.343558282208582,7.982333050632775,8.627450980392169,12.190305206463197
8.515337423312875,7.9821171702040985,8.897058823529413,12.215439856373429
8.687116564417165,7.9819012897754185,9.117647058823536,12.190305206463197
8.907975460122682,7.981623729224262,9.289215686274524,12.14003590664273
9.079754601226975,7.931138548975122,9.5343137254902,12.14003590664273
9.276073619631884,7.930891828485207,9.754901960784323,12.14003590664273
9.496932515337413,7.9306142679340486,9.950980392156872,12.14003590664273
9.766871165644162,7.955409677170646,10.024509803921553,11.863554757630164
10.012269938650306,7.8042933770968475,10.147058823529413,11.511669658886895
10.184049079754601,7.703538897027242,10.220588235294123,11.008976660682226
10.233128834355826,7.552669317443362,10.367647058823522,10.531418312387796
10.380368098159503,7.351407077794061,10.416666666666657,10.028725314183125
10.42944785276073,7.22567214812042,10.563725490196077,9.601436265709157
10.576687116564418,7.099813858201806,10.63725490196078,9.174147217235191
10.650306748466255,6.948913438556691,10.759803921568626,8.897666068222625
10.773006134969318,6.823085988699329,10.857843137254896,8.545780969479356
10.846625766871155,6.697320218964446,10.980392156862749,8.26929982046679
10.96932515337423,6.596627419017304,11.029411764705884,8.06822262118492
11.042944785276072,6.470861649282421,11.200980392156858,7.867145421903057
11.190184049079754,6.319868709453585,11.249999999999993,7.691202872531422
11.312883435582819,6.19404125959622,11.323529411764703,7.51526032315979
11.460122699386503,6.118452269498086,11.470588235294109,7.3393177737881565
11.509202453987726,5.942448040003969,11.519607843137244,7.238779174147222
11.730061349693251,5.816497229901648,11.666666666666622,7.087971274685827
11.950920245398773,5.715681069709561,11.740196078431339,6.962298025134658
12.147239263803682,5.56462644975824,11.862745098039198,6.811490125673252
12.343558282208585,5.463841129627397,11.936274509803908,6.736086175942548
12.539877300613497,5.36305580949654,12.058823529411768,6.610412926391378
12.61349693251534,5.23729003976165,12.10784313725491,6.535008976660675
12.834355828220861,5.211877829300263,12.279411764705834,6.484739676840228
13.006134969325155,5.111123349230654,12.303921568627409,6.359066427289058
13.202453987730062,5.060607328920275,12.499999999999979,6.333931777378822
13.276073619631898,4.9348415591853865,12.549019607843114,6.183123877917417
13.447852760736192,4.909491028846475,12.573529411764689,6.1077199281867145
13.595092024539872,4.859036688658579,12.769607843137258,5.956912028725309
13.717791411042944,4.8337478384421395,12.990196078431403,5.881508078994607
13.889570552147235,4.7581280082827675,13.210784313725547,5.755834829443435
14.085889570552139,4.707611987972385,13.406862745098124,5.60502692998203
14.306748466257664,4.631930477690528,13.651960784313715,5.454219030520642
14.503067484662571,4.556279807469913,13.897058823529356,5.403949730700191
14.674846625766866,4.530929277131003,14.117647058823572,5.32854578096949
14.773006134969323,4.480536617065576,14.338235294117716,5.253141831238787
14.96932515337423,4.404885946844956,14.534313725490101,5.177737881508095
15.141104294478525,4.40467006641628,14.730392156862656,5.02692998204669
15.288343558282206,4.3039464264079115,14.975490196078368,4.9515260323159875
15.43558282208589,4.354030685860939,15.196078431372513,4.876122082585285
15.607361963190181,4.278410855701562,15.416666666666657,4.825852782764818
15.803680981595091,4.202760185480944,15.612745098039234,4.800718132854582
15.999999999999995,4.177378815080804,15.833333333333378,4.775583482944349
16.196319018404907,4.151997444680646,16.029411764705948,4.700179533213646
16.343558282208587,4.126677754402975,16.274509803921497,4.599640933572717
16.49079754601227,4.126492714035539,16.470588235294066,4.524236983842014
16.638036809815947,4.050903723937406,16.666666666666643,4.473967684021547
16.76073619631902,4.0507495236312,16.887254901960787,4.473967684021547
16.932515337423315,4.075668293112761,17.10784313725493,4.398563734290844
17.128834355828225,3.974882972981913,17.3039215686275,4.323159784560142
17.32515337423313,3.974636252491994,17.573529411764788,4.323159784560142
17.521472392638024,3.9241202321816093,17.794117647058933,4.272890484739673
17.840490797545996,3.9237193113854953,18.014705882352864,4.272890484739683
18.061349693251536,3.8229031511934064,18.186274509803866,4.172351885098747
18.257668711656446,3.822656430703489,18.40686274509801,4.222621184919214
18.453987730061353,3.847544360123811,18.700980392156872,4.122082585278278
18.67484662576688,3.7718628498419537,18.89705882352944,4.122082585278278
18.8957055214724,3.746450639380564,19.093137254902018,4.071813285457809
19.116564417177912,3.670769129098705,19.289215686274588,4.0466786355475755
19.31288343558283,3.670522408608795,19.46078431372559,4.021543985637342
19.509202453987733,3.6702756881188687,19.681372549019734,4.021543985637342
19.705521472392643,3.6700289676289533,19.852941176470523,3.9712746858168835
19.975460122699392,3.669689726955326,19.975490196078376,3.895870736086181
